origin_id,destinatio,entry_cost,network_co,exit_cost,total_cost
General Alvear,Departamento San Luis del Palmar,0.0000000,36.0132340,0.0689451,36.0821791
General Alvear,San Martin,0.0000000,1.4292637,0.0552303,1.4844940
General Alvear,San Miguel,0.0000000,29.0941605,0.0000000,29.0941605
General Alvear,San Roque,0.0000000,24.5719069,0.0845838,24.6564907
General Alvear,Santo Tome,0.0000000,7.0559325,0.0000000,7.0559325
General Alvear,Sauce,0.0000000,24.2874021,0.0000000,24.2874021
Departamento General Paz,Bella Vista,0.0426402,14.7124890,0.0000000,14.7526209
Departamento General Paz,Beron de Astrada,0.0426402,2.6000799,0.0131334,2.6533452
Departamento General Paz,Capital,0.0426402,10.8253165,0.0000000,10.8654485
Departamento General Paz,Concepcion,0.0426402,9.5084890,0.0736135,9.6222344
Departamento General Paz,Curuzu Cuatia,0.0426402,9.5084890,0.0736135,9.6222344
Departamento General Paz,Empedrado,0.0426402,12.1814446,0.0000000,12.2215765
Departamento General Paz,Esquina,0.0426402,31.2816499,0.0656217,31.3874036
Departamento General Paz,General Alvear,0.0426402,28.9932831,0.0000000,29.0334150
Departamento General Paz,Departamento General Paz,0.0426402,0.0000000,0.0000000,29.0334150
Departamento General Paz,Goya,0.0426402,21.1017978,0.0000000,21.1419297
Departamento General Paz,Itati,0.0426402,10.0223372,0.0332713,10.0957405
Departamento General Paz,Ituzaingo,0.0426402,9.4595468,0.0000000,9.4996787
Departamento General Paz,Lavalle,0.0426402,19.0662581,0.0862448,19.1926348
Departamento General Paz,Mburucuya,0.0426402,6.3174119,0.0404930,6.3980368
Departamento General Paz,Mercedes,0.0426402,22.8616431,0.0000000,22.9017750
Departamento General Paz,Monte Caseros,0.0426402,34.4072729,0.0000000,34.4474048
Departamento General Paz,Departamento Paso de los Libres,0.0426402,34.8915748,0.0000000,34.9317067
Departamento General Paz,Departamento Saladas,0.0426402,34.8915748,0.0000000,34.9317067
Departamento General Paz,San Cosme,0.0426402,9.9119119,0.0802203,10.0322640
Departamento General Paz,Departamento San Luis del Palmar,0.0426402,8.5713399,0.0689451,8.6804169
Departamento General Paz,San Martin,0.0426402,28.9932761,0.0552303,29.0886383
Departamento General Paz,San Miguel,0.0426402,2.9729831,0.0000000,3.0131150
Departamento General Paz,San Roque,0.0426402,13.8955091,0.0845838,14.0202248
Departamento General Paz,Santo Tome,0.0426402,22.4223231,0.0000000,22.4624550
Departamento General Paz,Sauce,0.0426402,28.7016459,0.0000000,28.7417778
Goya,Bella Vista,0.0000000,6.6746554,0.0000000,6.6746554
Goya,Beron de Astrada,0.0000000,23.7018778,0.0131334,23.7150112
Goya,Capital,0.0000000,17.9616926,0.0000000,17.9616926
Goya,Concepcion,0.0000000,17.7795042,0.0736135,17.8531177
Goya,Curuzu Cuatia,0.0000000,17.7795042,0.0736135,17.8531177
Goya,Empedrado,0.0000000,13.0292419,0.0000000,13.0292419
Goya,Esquina,0.0000000,21.4732859,0.0656217,21.5389076
Goya,General Alvear,0.0000000,28.6590520,0.0000000,28.6590520
Goya,Departamento General Paz,0.0000000,21.1017978,0.0401319,21.1419297
Goya,Goya,0.0000000,0.0000000,0.0401319,21.1419297
Goya,Itati,0.0000000,22.7251913,0.0332713,22.7584626
Goya,Ituzaingo,0.0000000,29.8090106,0.0000000,29.8090106
Goya,Lavalle,0.0000000,2.0355398,0.0862448,2.1217846
Goya,Mburucuya,0.0000000,14.7843859,0.0404930,14.8248790
Goya,Mercedes,0.0000000,13.0532791,0.0000000,13.0532791
Goya,Monte Caseros,0.0000000,24.5989088,0.0000000,24.5989088
Goya,Departamento Paso de los Libres,0.0000000,25.0832108,0.0000000,25.0832108
Goya,Departamento Saladas,0.0000000,25.0832108,0.0000000,25.0832108
Goya,San Cosme,0.0000000,19.9881878,0.0802203,20.0684080
Goya,Departamento San Luis del Palmar,0.0000000,18.6476158,0.0689451,18.7165609
Goya,San Martin,0.0000000,27.9616300,0.0552303,28.0168604
Goya,San Miguel,0.0000000,20.6037125,0.0000000,20.6037125
Goya,San Roque,0.0000000,9.2152225,0.0845838,9.2998063
Goya,Santo Tome,0.0000000,34.2123982,0.0000000,34.2123982
Goya,Sauce,0.0000000,18.8932819,0.0000000,18.8932819
Itati,Bella Vista,0.0353508,16.3358825,0.0000000,16.3691538
Itati,Beron de Astrada,0.0353508,7.4222573,0.0131334,7.4686620
Itati,Capital,0.0353508,6.5330771,0.0000000,6.5663484
Itati,Concepcion,0.0353508,15.4600113,0.0736135,15.5668962
Itati,Curuzu Cuatia,0.0353508,15.4600113,0.0736135,15.5668962
Itati,Empedrado,0.0353508,9.9479728,0.0000000,9.9812442
Itati,Esquina,0.0353508,32.9050434,0.0656217,33.0039365
Itati,General Alvear,0.0353508,33.5342664,0.0000000,33.5675378
Itati,Departamento General Paz,0.0353508,10.0223372,0.0401319,10.0957405
Itati,Goya,0.0353508,22.7251913,0.0000000,22.7584626
Itati,Itati,0.0353508,0.0000000,0.0000000,22.7584626
Itati,Ituzaingo,0.0353508,14.0005301,0.0000000,14.0338015
Itati,Lavalle,0.0353508,20.6896515,0.0862448,20.8091677
Itati,Mburucuya,0.0353508,11.2638101,0.0404930,11.3375744
Itati,Mercedes,0.0353508,24.4850366,0.0000000,24.5183079
Itati,Monte Caseros,0.0353508,36.0306663,0.0000000,36.0639377
Itati,Departamento Paso de los Libres,0.0353508,36.5149683,0.0000000,36.5482396
Itati,Departamento Saladas,0.0353508,36.5149683,0.0000000,36.5482396
Itati,San Cosme,0.0353508,2.7370035,0.0802203,2.8504951
Itati,Departamento San Luis del Palmar,0.0353508,4.4542660,0.0689451,4.5564824
Itati,San Martin,0.0353508,33.5342594,0.0552303,33.6227610
Itati,San Miguel,0.0353508,12.9953203,0.0000000,13.0285917
Itati,San Roque,0.0353508,15.5189026,0.0845838,15.6367577
Itati,Santo Tome,0.0353508,26.9633064,0.0000000,26.9965777
Itati,Sauce,0.0353508,30.3250394,0.0000000,30.3583107
Ituzaingo,Bella Vista,0.0000000,23.4197017,0.0000000,23.4197017
Ituzaingo,Beron de Astrada,0.0000000,8.1553958,0.0131334,8.1685292
Ituzaingo,Capital,0.0000000,19.3423290,0.0000000,19.3423290
Ituzaingo,Concepcion,0.0000000,16.3557404,0.0736135,16.4293540
Ituzaingo,Curuzu Cuatia,0.0000000,16.3557404,0.0736135,16.4293540
Ituzaingo,Empedrado,0.0000000,21.6409914,0.0000000,21.6409914
Ituzaingo,Esquina,0.0000000,39.9888627,0.0656217,40.0544844
Ituzaingo,General Alvear,0.0000000,19.8399805,0.0000000,19.8399805
Ituzaingo,Departamento General Paz,0.0000000,9.4595468,0.0401319,9.4996787
Ituzaingo,Goya,0.0000000,29.8090106,0.0000000,29.8090106
Ituzaingo,Itati,0.0000000,14.0005301,0.0332713,14.0338015
Ituzaingo,Ituzaingo,0.0000000,0.0000000,0.0332713,14.0338015
Ituzaingo,Lavalle,0.0000000,27.7734708,0.0862448,27.8597156
Ituzaingo,Mburucuya,0.0000000,15.7769587,0.0404930,15.8174517
Ituzaingo,Mercedes,0.0000000,22.9571641,0.0000000,22.9571641
Ituzaingo,Monte Caseros,0.0000000,34.5487996,0.0000000,34.5487996
Ituzaingo,Departamento Paso de los Libres,0.0000000,26.0986475,0.0000000,26.0986475
Ituzaingo,Departamento Saladas,0.0000000,26.0986475,0.0000000,26.0986475
Ituzaingo,San Cosme,0.0000000,15.5462554,0.0802203,15.6264757
Ituzaingo,Departamento San Luis del Palmar,0.0000000,17.2635179,0.0689451,17.3324629
Ituzaingo,San Martin,0.0000000,19.8399734,0.0552303,19.8952037
Ituzaingo,San Miguel,0.0000000,9.5604242,0.0000000,9.5604242
Ituzaingo,San Roque,0.0000000,22.6027219,0.0845838,22.6873056
Ituzaingo,Santo Tome,0.0000000,13.2690204,0.0000000,13.2690204
Ituzaingo,Sauce,0.0000000,35.5282239,0.0000000,35.5282239
Lavalle,Bella Vista,0.0916351,4.6391157,0.0000000,4.7253605
Lavalle,Beron de Astrada,0.0916351,21.6663380,0.0131334,21.7657162
Lavalle,Capital,0.0916351,15.9261528,0.0000000,16.0123977
Lavalle,Concepcion,0.0916351,15.7439644,0.0736135,15.9038228
Lavalle,Curuzu Cuatia,0.0916351,15.7439644,0.0736135,15.9038228
Lavalle,Empedrado,0.0916351,10.9937021,0.0000000,11.0799469
Lavalle,Esquina,0.0916351,19.4377461,0.0656217,19.5896126
Lavalle,General Alvear,0.0916351,26.6235122,0.0000000,26.7097570
Lavalle,Departamento General Paz,0.0916351,19.0662581,0.0401319,19.1926348
Lavalle,Goya,0.0916351,2.0355398,0.0000000,2.1217846
Lavalle,Itati,0.0916351,20.6896515,0.0332713,20.8091677
Lavalle,Ituzaingo,0.0916351,27.7734708,0.0000000,27.8597156
Lavalle,Lavalle,0.0916351,0.0000000,0.0000000,27.8597156
Lavalle,Mburucuya,0.0916351,12.7488462,0.0404930,12.8755840
Lavalle,Mercedes,0.0916351,11.0177393,0.0000000,11.1039841
Lavalle,Monte Caseros,0.0916351,22.5633690,0.0000000,22.6496138
Lavalle,Departamento Paso de los Libres,0.0916351,23.0476710,0.0000000,23.1339158
Lavalle,Departamento Saladas,0.0916351,23.0476710,0.0000000,23.1339158
Lavalle,San Cosme,0.0916351,17.9526480,0.0802203,18.1191130
Lavalle,Departamento San Luis del Palmar,0.0916351,16.6120761,0.0689451,16.7672659
Lavalle,San Martin,0.0916351,25.9260902,0.0552303,26.0675654
Lavalle,San Miguel,0.0916351,18.5681727,0.0000000,18.6544175
Lavalle,San Roque,0.0916351,7.1796828,0.0845838,7.3505113
Lavalle,Santo Tome,0.0916351,32.1768585,0.0000000,32.2631033
Lavalle,Sauce,0.0916351,16.8577421,0.0000000,16.9439869
Mburucuya,Bella Vista,0.0430238,8.3950771,0.0000000,8.4355701
Mburucuya,Beron de Astrada,0.0430238,8.9174918,0.0131334,8.9711183
Mburucuya,Capital,0.0430238,9.0528124,0.0000000,9.0933055
Mburucuya,Concepcion,0.0430238,4.7990204,0.0736135,4.9131270
Mburucuya,Curuzu Cuatia,0.0430238,4.7990204,0.0736135,4.9131270
Mburucuya,Empedrado,0.0430238,6.2802591,0.0000000,6.3207521
Mburucuya,Esquina,0.0430238,24.9642380,0.0656217,25.0703528
Mburucuya,General Alvear,0.0430238,32.1500041,0.0000000,32.1904971
Mburucuya,Departamento General Paz,0.0430238,6.3174119,0.0401319,6.3980368
Mburucuya,Goya,0.0430238,14.7843859,0.0000000,14.8248790
Mburucuya,Itati,0.0430238,11.2638101,0.0332713,11.3375744
Mburucuya,Ituzaingo,0.0430238,15.7769587,0.0000000,15.8174517
Mburucuya,Lavalle,0.0430238,12.7488462,0.0862448,12.8755840
Mburucuya,Mburucuya,0.0430238,0.0000000,0.0862448,12.8755840
Mburucuya,Mercedes,0.0430238,16.5442312,0.0000000,16.5847242
Mburucuya,Monte Caseros,0.0430238,28.0898610,0.0000000,28.1303540
Mburucuya,Departamento Paso de los Libres,0.0430238,28.5741629,0.0000000,28.6146560
Mburucuya,Departamento Saladas,0.0430238,28.5741629,0.0000000,28.6146560
Mburucuya,San Cosme,0.0430238,8.5268065,0.0802203,8.6475198
Mburucuya,Departamento San Luis del Palmar,0.0430238,7.1862346,0.0689451,7.2956727
Mburucuya,San Martin,0.0430238,31.4525822,0.0552303,31.5483056
Mburucuya,San Miguel,0.0430238,7.6232287,0.0000000,7.6637217
Mburucuya,San Roque,0.0430238,7.5780972,0.0845838,7.7031740
Mburucuya,Santo Tome,0.0430238,28.7397350,0.0000000,28.7802280
Mburucuya,Sauce,0.0430238,22.3842340,0.0000000,22.4247271
Mercedes,Bella Vista,0.0000000,11.2925004,0.0000000,11.2925004
Mercedes,Beron de Astrada,0.0000000,25.4617231,0.0131334,25.4748564
Mercedes,Capital,0.0000000,19.7215379,0.0000000,19.7215379
Mercedes,Concepcion,0.0000000,19.5393495,0.0736135,19.6129630
Mercedes,Curuzu Cuatia,0.0000000,19.5393495,0.0736135,19.6129630
Mercedes,Empedrado,0.0000000,14.7890872,0.0000000,14.7890872
Mercedes,Esquina,0.0000000,18.3456404,0.0656217,18.4112622
Mercedes,General Alvear,0.0000000,15.9929046,0.0000000,15.9929046
Mercedes,Departamento General Paz,0.0000000,22.8616431,0.0401319,22.9017750
Mercedes,Goya,0.0000000,13.0532791,0.0000000,13.0532791
Mercedes,Itati,0.0000000,24.4850366,0.0332713,24.5183079
Mercedes,Ituzaingo,0.0000000,22.9571641,0.0000000,22.9571641
Mercedes,Lavalle,0.0000000,11.0177393,0.0862448,11.1039841
Mercedes,Mburucuya,0.0000000,16.5442312,0.0404930,16.5847242
Mercedes,Mercedes,0.0000000,0.0000000,0.0404930,16.5847242
Mercedes,Monte Caseros,0.0000000,12.5722629,0.0000000,12.5722629
Mercedes,Departamento Paso de los Libres,0.0000000,12.4170634,0.0000000,12.4170634
Mercedes,Departamento Saladas,0.0000000,12.4170634,0.0000000,12.4170634
Mercedes,San Cosme,0.0000000,21.7480330,0.0802203,21.8282533
